idade,renda,hist_credito,emprego,propriedade
72,27597.3,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Social Worker,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut
87,81959.14,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Electrical Engineer,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel
45,85877.59,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Software Engineer I,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices
95,72835.38,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Nurse Practicioner,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et
27,19912.6,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Clinical Specialist,ipsum aliquam non mauris morbi non lectus aliquam sit amet
18,65285.54,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Technical Writer,in porttitor pede justo eu massa donec dapibus duis at velit eu est congue
41,97285.2,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Design Engineer,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque
83,8517.95,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Financial Advisor,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac
80,36548.87,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,VP Marketing,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue
77,58464.51,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Human Resources Assistant III,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris
50,49104.79,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Environmental Specialist,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper
26,18316.51,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Community Outreach Specialist,sed sagittis nam congue risus semper porta volutpat quam pede
38,56705.49,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,VP Sales,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec
71,87363.49,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Budget/Accounting Analyst I,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi
32,95920.22,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Marketing Assistant,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
20,81793.25,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Help Desk Operator,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque
60,38670.0,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Environmental Specialist,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat
77,8461.96,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Nurse Practicioner,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui
87,88397.99,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Occupational Therapist,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis
89,61787.47,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Biostatistician II,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet
40,66768.28,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Junior Executive,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula
73,40088.1,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,GIS Technical Architect,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam
38,9085.52,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Web Developer II,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem
19,21781.25,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,General Manager,a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices
41,31523.21,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Health Coach IV,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat
69,56288.13,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Human Resources Manager,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc
29,60995.45,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Programmer I,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a
19,64478.51,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Clinical Specialist,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum
93,8658.05,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Software Test Engineer III,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum
63,15568.59,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Physical Therapy Assistant,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
99,91128.91,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Teacher,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod
75,88202.6,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Senior Developer,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed
58,63252.76,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Paralegal,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec
47,24264.52,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Executive Secretary,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
58,95884.47,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Project Manager,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in
68,47150.67,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Software Engineer III,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in
40,38668.57,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Automation Specialist I,justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum
67,11435.49,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Research Nurse,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam
63,52680.66,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Human Resources Assistant IV,sed interdum venenatis turpis enim blandit mi in porttitor pede justo
70,18411.39,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Health Coach I,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie
89,48168.02,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Junior Executive,dui luctus rutrum nulla tellus in sagittis dui vel nisl
46,67253.53,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Operator,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum
57,58934.39,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Programmer IV,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis
67,63253.65,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Geological Engineer,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
68,10984.27,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Marketing Assistant,a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor
58,32424.93,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Staff Accountant IV,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus
19,20886.29,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Administrative Assistant III,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui
34,30097.77,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Chief Design Engineer,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et
48,34090.61,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,General Manager,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum
92,10379.71,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Senior Sales Associate,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce
21,48215.24,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Office Assistant I,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus
78,27534.62,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Engineer IV,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a
63,39740.52,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Speech Pathologist,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur
75,3546.36,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Desktop Support Technician,rhoncus dui vel sem sed sagittis nam congue risus semper porta
90,26977.88,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Account Coordinator,suspendisse ornare consequat lectus in est risus auctor sed tristique
29,46309.07,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Sales Representative,elementum nullam varius nulla facilisi cras non velit nec nisi
93,90220.1,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Web Designer II,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
31,81107.0,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Recruiting Manager,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac
48,96276.24,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Biostatistician I,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus
76,11673.49,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Occupational Therapist,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo
29,75169.01,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Desktop Support Technician,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque
24,37021.9,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Statistician IV,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet
40,90788.34,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Account Executive,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus
94,94085.8,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Quality Engineer,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus
35,22652.76,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Legal Assistant,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque
56,91910.29,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Senior Editor,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet
58,9484.64,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Staff Accountant I,ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
78,84203.68,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Developer IV,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in
56,41173.45,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Structural Analysis Engineer,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam
45,18437.02,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Research Associate,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed
34,27498.49,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,VP Accounting,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et
43,41083.66,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Business Systems Development Analyst,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum
46,58645.88,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Dental Hygienist,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate
66,56835.66,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Software Consultant,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut
67,48997.84,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Nurse,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula
75,19662.54,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Business Systems Development Analyst,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi
94,59006.35,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Health Coach IV,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas
73,32015.57,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Chief Design Engineer,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate
31,37053.31,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Associate Professor,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla
52,90359.68,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Marketing Manager,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus
47,75338.39,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Quality Engineer,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio
46,26969.81,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Administrative Assistant I,at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum
32,58302.01,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Analog Circuit Design manager,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean
50,91051.39,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Director of Sales,sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed
75,46558.42,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Business Systems Development Analyst,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet
74,42990.02,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Nuclear Power Engineer,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi
63,80119.18,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Physical Therapy Assistant,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi
63,71505.24,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,GIS Technical Architect,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede
58,94802.4,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Executive Secretary,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis
20,80843.76,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Payment Adjustment Coordinator,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim
37,22846.92,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Web Designer II,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo
38,20681.35,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Research Nurse,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec
25,60891.5,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Systems Administrator I,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum
56,16255.15,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,VP Accounting,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
30,12595.79,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Systems Administrator III,suspendisse ornare consequat lectus in est risus auctor sed tristique
63,7933.85,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Environmental Specialist,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat
20,68511.51,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Occupational Therapist,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam
57,79039.76,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Software Engineer II,nunc vestibulum ante ipsum primis in faucibus orci luctus et
44,68971.44,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Financial Advisor,massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst
46,20096.47,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Recruiting Manager,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl
63,10547.17,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Software Test Engineer II,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget
22,85702.79,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Analyst Programmer,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum
87,5882.26,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,VP Product Management,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque
76,38670.65,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Registered Nurse,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante
63,46707.72,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Desktop Support Technician,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus
92,62392.05,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Help Desk Technician,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in
66,38986.39,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Senior Sales Associate,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor
94,74270.49,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Software Engineer III,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam
48,70273.47,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Compensation Analyst,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio
90,28684.4,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,VP Marketing,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor
42,7988.52,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Civil Engineer,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
20,68935.88,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Help Desk Technician,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus
36,96437.89,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Nurse,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus
56,24589.04,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,General Manager,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in
19,94975.86,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Data Coordinator,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum
59,40814.73,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Programmer Analyst II,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id
28,94265.29,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Software Test Engineer II,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus
54,69360.12,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Physical Therapy Assistant,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla
65,29546.29,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Research Assistant IV,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum
68,56220.77,Excelente -Bom -Regular -Ruim -Sem histórico -Inadimplente-recente -Recuperado -Novo crédito,Nurse,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet
